App no.	RECIPIENT	DEP	PUBLISHER	JOURNAL	TITLE	Invoice No.	AMOUNT REQ
WT 11-12 151	Professor Peter Jones	Psychiatry	Wiley-Blackwell	American Journal of Medical Genetics	Cognitive effects of genetic variation in monoamine neurotransmitter systems: a population-based study of COMT, MAOA and 5HTTLPR	RN 737618	£2,314.96
WT 11-12 152	Dr James Kirkbride	Psychiatry	Future Medicine	Epigenomics	Prenatal nutrition, epigenetics and schizophrenia risk: can we test causal effects?	RN 737618	£2,040.00
WT 11-12 153	Dr Michael V Lombardo and Professor Simon Baron-Cohen	Psychiatry	Elsevier	Biological Psychiatry	Fetal programming effects of testosterone on the reward system and behavioural approach tendencies in humans	RN 737618	£2,167.61
WT 11-12 154	Miss Ruth Spence	Psychiatry	Elsevier	Personality and Individual Differences	Item response theory and validity of the NEO-FFI in adolescents	RN 737618	£2,169.36
WT 11-12 155	Dr Michelle St Clair	Psychiatry	Springer-Verlag	Social Psychiatry and Psychiatric Epidemiology	Depressive symptoms during adolescence: comparison between epidemiological and high risk sampling	RN 737618	£2,035.58
WT 11-12 157	Professor Colin Taylor	Pharmacology	Public Library of Science	PLoS One	Identification and analysis of cation channel homologues in human pathogenic fungi	PL 733383	£867.22
WT 11-12 158	Dr Mark Evans	Institute of Metabolic Science	The Endocrine Society	Endocrinology	Recurrent hypoglycaemia is associated with loss of activation in rat brain cingulate cortex	RG 725980	£1,887.62
WT 11-12 160	Professor Joe Herbert	Clinical Neurosciences	The Royal College of Psychiatrists	British Journal of Psychiatry	"Interaction between the BDNF gene Val/66/Met polymorphism and individual levels of morning cortisol as a predictor of depression in adult women
"	AH 039	£3,000.00
WT 11-12 161	Professor A Green	Haematology	Elsevier	Experimental Haematology	Deletion of the Scl +19 enhancer increases the blood stem cell compartment without affecting the formation of mature blood lineages	RB 733775	£2,315.96
WT 11-12 162	Professor Trevor Robbins	Experimental Psychology	Cambridge University Press	Psychological Medicine	Punishment promotes response control deficits in obsessive-compulsive disorder: evidence from a motivational go/no-go task	PJ 735381	£1,800.00
WT 11-12 163	Dr Tom Monie	Pathology	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	Pathogen sensing by nucleotide-binding oligomerization domaincontaining protein 2 (NOD2) is mediated by direct binding to muramyl dipeptide and ATP	5-45818	£1,536.10
